medi	snps_for_medi	coef	file	method	tissue	trait	seq	Pos	medi_V4_name
AC148152.3_FG001	8-117928831	-0.022635164	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	8	121428664	Zm00001d007725
AC148152.3_FG001	4-7317329	-0.049190416	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	4	8120113	Zm00001d007725
AC148152.3_FG001	7-12338035	-0.039787863	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	7	12744284	Zm00001d007725
AC148152.3_FG001	1-267945089	-0.043891201	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	1	272689410	Zm00001d007725
AC148152.3_FG001	8-162871870	-0.023627011	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	8	168318868	Zm00001d007725
AC148152.3_FG001	1-256408861	-0.004256077	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	1	260914388	Zm00001d007725
AC148152.3_FG001	4-22801510	0.001617496	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	4	24308777	Zm00001d007725
AC148152.3_FG001	4-139720913	-0.023802769	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	4	142895182	Zm00001d007725
AC148152.3_FG001	4-55415010	-0.05916436	res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv	res.fixed	GRoot	GDDAnthesis.SilkingInterval	4	57679260	Zm00001d007725
AC148152.3_FG001	7-2180791	-0.044104391	res.fixed_indirect_LeafWidth_ts_GRoot.csv	res.fixed	GRoot	LeafWidth	7	2292898	Zm00001d007725
AC148152.3_FG001	7-142025362	0.020957737	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	7	146917253	Zm00001d007725
AC148152.3_FG001	4-55415010	-0.05916436	res.fixed_indirect_LeafWidth_ts_GRoot.csv	res.fixed	GRoot	LeafWidth	4	57679260	Zm00001d007725
AC148152.3_FG001	4-64954427	-0.077352979	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	4	67400425	Zm00001d007725
AC148152.3_FG001	1-267945089	-0.062841971	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	1	272689410	Zm00001d007725
AC148152.3_FG001	7-142516966	-0.003013085	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	7	147426356	Zm00001d007725
AC148152.3_FG001	1-246633006	0.018109546	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	1	250207213	Zm00001d007725
AC148152.3_FG001	3-207405971	-0.142074883	res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv	res.fixed	GRoot	Spikelets.MainSpike	3	210896438	Zm00001d007725
AC148152.3_FG001	4-22801510	-0.091325694	res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv	res.fixed	GRoot	Spikelets.MainSpike	4	24308777	Zm00001d007725
AC148152.3_FG001	1-258402989	-0.16559813	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	1	262966610	Zm00001d007725
AC148152.3_FG001	7-142521511	0.057375833	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	7	147382215	Zm00001d007725
AC148152.3_FG001	4-144021302	-0.029729913	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	4	147304867	Zm00001d007725
AC148152.3_FG001	1-269100534	0.054831402	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	1	273754051	Zm00001d007725
AC148152.3_FG001	9-23628103	0.140202913	res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv	res.fixed	GRoot	X.6537496..chlorogenic.acid.2..27.18..s100	9	23494028	Zm00001d007725
AC148152.3_FG001	7-136175202	-0.020335267	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	7	141859843	Zm00001d007725
AC148152.3_FG001	4-22801510	-0.091325694	res.fixed_indirect_LeafWidth_ts_GRoot.csv	res.fixed	GRoot	LeafWidth	4	24308777	Zm00001d007725
AC148152.3_FG001	7-2180791	-0.044104391	res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv	res.fixed	GRoot	Spikelets.MainSpike	7	2292898	Zm00001d007725
AC148152.3_FG001	3-207405971	-0.171372561	res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv	res.fixed	GRoot	X.6537496..chlorogenic.acid.2..27.18..s100	3	210896438	Zm00001d007725
AC148152.3_FG001	8-143418655	-0.131703484	res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv	res.fixed	GRoot	X.6537496..chlorogenic.acid.2..27.18..s100	8	148131679	Zm00001d007725
AC148152.3_FG001	7-130952825	0.079281171	res.fixed_indirect_LeafWidth_ts_GRoot.csv	res.fixed	GRoot	LeafWidth	7	134937511	Zm00001d007725
AC148152.3_FG001	3-207405971	-0.142074883	res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv	res.fixed	GRoot	GDDAnthesis.SilkingInterval	3	210896438	Zm00001d007725
AC148152.3_FG001	8-23201179	-0.017439051	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	8	23941096	Zm00001d007725
AC148152.3_FG001	7-156404323	-0.005923515	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	7	161691950	Zm00001d007725
AC148152.3_FG001	1-116357245	0.028691294	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	1	117967382	Zm00001d007725
AC148152.3_FG001	1-254873027	-0.074904027	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	1	259340905	Zm00001d007725
AC148152.3_FG001	7-2009871	-0.000245584	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	7	2135759	Zm00001d007725
AC148152.3_FG001	8-143418655	-0.125417708	res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv	res.fixed	GRoot	GDDAnthesis.SilkingInterval	8	148131679	Zm00001d007725
AC148152.3_FG001	7-45246599	-0.027719791	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	7	46747037	Zm00001d007725
AC148152.3_FG001	1-172139476	-0.043011046	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	1	174044451	Zm00001d007725
AC148152.3_FG001	7-45430974	-0.000248574	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	7	46874631	Zm00001d007725
AC148152.3_FG001	5-87146691	0.033705881	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	5	89372735	Zm00001d007725
AC148152.3_FG001	7-165855125	-0.105875937	res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv	res.fixed	GRoot	X.6537496..chlorogenic.acid.2..27.18..s100	7	171391022	Zm00001d007725
AC148152.3_FG001	3-207405971	-0.12328402	res.fixed_indirect_NIRProtein_ts_GRoot.csv	res.fixed	GRoot	NIRProtein	3	210896438	Zm00001d007725
AC148152.3_FG001	7-130952825	-0.00940525	res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv	res.fixed	GRoot	X.6537496..chlorogenic.acid.2..27.18..s100	7	134937511	Zm00001d007725
AC148152.3_FG001	4-22801510	0.019323023	res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv	res.fixed	GRoot	X.6537496..chlorogenic.acid.2..27.18..s100	4	24308777	Zm00001d007725
AC148152.3_FG001	1-254873027	-0.003513778	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	1	259340905	Zm00001d007725
AC148152.3_FG001	4-55415010	-0.05916436	res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv	res.fixed	GRoot	AnthesistoSilkInterval	4	57679260	Zm00001d007725
AC148152.3_FG001	1-116357245	0.058417386	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	1	117967382	Zm00001d007725
AC148152.3_FG001	4-55415010	-0.05916436	res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv	res.fixed	GRoot	Spikelets.MainSpike	4	57679260	Zm00001d007725
AC148152.3_FG001	7-130952825	0.08651089	res.fixed_indirect_NIRProtein_ts_GRoot.csv	res.fixed	GRoot	NIRProtein	7	134937511	Zm00001d007725
AC148152.3_FG001	1-88024980	-0.040296649	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	1	89962591	Zm00001d007725
AC148152.3_FG001	6-111866421	-0.133887144	res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv	res.fixed	GRoot	X.6537496..chlorogenic.acid.2..27.18..s100	6	114761101	Zm00001d007725
AC148152.3_FG001	2-230567862	-0.000654143	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	2	237001821	Zm00001d007725
AC148152.3_FG001	7-2180791	-0.044104391	res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv	res.fixed	GRoot	AnthesistoSilkInterval	7	2292898	Zm00001d007725
AC148152.3_FG001	2-31773531	-0.019462672	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	2	32661585	Zm00001d007725
AC148152.3_FG001	4-22801510	-0.091325694	res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv	res.fixed	GRoot	AnthesistoSilkInterval	4	24308777	Zm00001d007725
AC148152.3_FG001	7-130952825	0.079281171	res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv	res.fixed	GRoot	AnthesistoSilkInterval	7	134937511	Zm00001d007725
AC148152.3_FG001	7-130952825	0.079281171	res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv	res.fixed	GRoot	Spikelets.MainSpike	7	134937511	Zm00001d007725
AC148152.3_FG001	1-249670963	-0.037256606	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	1	253430952	Zm00001d007725
AC148152.3_FG001	4-55415010	-0.029783937	res.fixed_indirect_NIRProtein_ts_GRoot.csv	res.fixed	GRoot	NIRProtein	4	57679260	Zm00001d007725
AC148152.3_FG001	6-26148806	-0.059389302	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	6	27518980	Zm00001d007725
AC148152.3_FG001	1-253445825	0.049598708	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	1	258952786	Zm00001d007725
AC148152.3_FG001	3-207405971	-0.142074883	res.fixed_indirect_LeafWidth_ts_GRoot.csv	res.fixed	GRoot	LeafWidth	3	210896438	Zm00001d007725
AC148152.3_FG001	7-2180791	-0.044104391	res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv	res.fixed	GRoot	GDDAnthesis.SilkingInterval	7	2292898	Zm00001d007725
AC148152.3_FG001	5-192017240	-0.083502289	res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv	res.fixed	GRoot	GDDAnthesis.SilkingInterval	5	197335004	Zm00001d007725
AC148152.3_FG001	4-170439222	0.049990351	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	4	173400159	Zm00001d007725
AC148152.3_FG001	3-127827226	-0.05630852	res.fixed_indirect_NIRProtein_ts_GRoot.csv	res.fixed	GRoot	NIRProtein	3	128334790	Zm00001d007725
AC148152.3_FG001	1-169522914	-0.068387064	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	1	171319281	Zm00001d007725
AC148152.3_FG001	1-156400243	-0.045295137	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	1	158281997	Zm00001d007725
AC148152.3_FG001	4-7317329	-0.025302814	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	4	8120113	Zm00001d007725
AC148152.3_FG001	6-152408456	-0.015184607	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	6	156339956	Zm00001d007725
AC148152.3_FG001	2-231059742	-0.033004696	res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv	res.fixed	GRoot	GDDAnthesis.SilkingInterval	2	237396210	Zm00001d007725
AC148152.3_FG001	4-22801510	-0.075208427	res.fixed_indirect_NIRProtein_ts_GRoot.csv	res.fixed	GRoot	NIRProtein	4	24308777	Zm00001d007725
AC148152.3_FG001	7-142560684	-0.009135367	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	7	147467411	Zm00001d007725
AC148152.3_FG001	8-143418655	-0.125417708	res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv	res.fixed	GRoot	AnthesistoSilkInterval	8	148131679	Zm00001d007725
AC148152.3_FG001	7-2180791	-0.034135143	res.fixed_indirect_NIRProtein_ts_GRoot.csv	res.fixed	GRoot	NIRProtein	7	2292898	Zm00001d007725
AC148152.3_FG001	6-150971114	-0.055781514	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	6	154896430	Zm00001d007725
AC148152.3_FG001	9-151518803	0.063892159	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	9	154426199	Zm00001d007725
AC148152.3_FG001	9-126044138	-0.041199734	res.fixed_indirect_NIRProtein_ts_GRoot.csv	res.fixed	GRoot	NIRProtein	9	127823234	Zm00001d007725
AC148152.3_FG001	2-230567862	0.019792663	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	2	237001821	Zm00001d007725
AC148152.3_FG001	7-29669409	-0.034465028	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	7	30866904	Zm00001d007725
AC148152.3_FG001	1-292801415	0.012545817	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	1	298254270	Zm00001d007725
AC148152.3_FG001	2-230567862	-0.082163307	res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv	res.fixed	GRoot	AnthesistoSilkInterval	2	237001821	Zm00001d007725
AC148152.3_FG001	3-112645223	-0.056217419	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	3	98614721	Zm00001d007725
AC148152.3_FG001	4-151259350	-0.169201419	res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv	res.fixed	GRoot	X.6537496..chlorogenic.acid.2..27.18..s100	4	154747694	Zm00001d007725
AC148152.3_FG001	7-130952825	0.079281171	res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv	res.fixed	GRoot	GDDAnthesis.SilkingInterval	7	134937511	Zm00001d007725
AC148152.3_FG001	1-180538914	0.044430001	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	1	182479984	Zm00001d007725
AC148152.3_FG001	4-237452389	-0.028369721	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	4	242161894	Zm00001d007725
AC148152.3_FG001	7-94913737	0.031317284	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	7	97864009	Zm00001d007725
AC148152.3_FG001	1-185125257	-0.009582532	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	1	187244010	Zm00001d007725
AC148152.3_FG001	1-269533728	-0.008091694	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	1	274204200	Zm00001d007725
AC148152.3_FG001	4-238523899	0.006543477	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	4	243306874	Zm00001d007725
AC148152.3_FG001	2-231059742	-0.035779693	res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv	res.fixed	GRoot	X.6537496..chlorogenic.acid.2..27.18..s100	2	237396210	Zm00001d007725
AC148152.3_FG001	4-134596459	-0.113309992	res.fixed_indirect_NIRProtein_ts_GRoot.csv	res.fixed	GRoot	NIRProtein	4	137787202	Zm00001d007725
AC148152.3_FG001	3-107206183	0.035943877	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	3	93134008	Zm00001d007725
AC148152.3_FG001	3-34753818	0.034800148	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	3	34457654	Zm00001d007725
AC148152.3_FG001	1-156400243	-0.030281959	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	1	158281997	Zm00001d007725
AC148152.3_FG001	7-94913737	0.033220993	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	7	97864009	Zm00001d007725
AC148152.3_FG001	2-231059742	-0.084119518	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	2	237396210	Zm00001d007725
AC148152.3_FG001	4-22801510	-0.091325694	res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv	res.fixed	GRoot	GDDAnthesis.SilkingInterval	4	24308777	Zm00001d007725
AC148152.3_FG001	2-231059742	-0.033004696	res.fixed_indirect_LeafWidth_ts_GRoot.csv	res.fixed	GRoot	LeafWidth	2	237396210	Zm00001d007725
AC148152.3_FG001	4-236633338	-0.010401299	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	4	241323733	Zm00001d007725
AC148152.3_FG001	6-81639486	0.01955682	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	6	84523138	Zm00001d007725
AC148152.3_FG001	8-143418655	-0.112738349	res.fixed_indirect_NIRProtein_ts_GRoot.csv	res.fixed	GRoot	NIRProtein	8	148131679	Zm00001d007725
AC148152.3_FG001	3-207405971	-0.064494518	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	3	210896438	Zm00001d007725
AC148152.3_FG001	2-199635106	-0.171836364	res.fixed_indirect_NIRProtein_ts_GRoot.csv	res.fixed	GRoot	NIRProtein	2	205519586	Zm00001d007725
AC148152.3_FG001	3-7984198	-0.038018147	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	3	7134363	Zm00001d007725
AC148152.3_FG001	2-230567862	-0.082163307	res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv	res.fixed	GRoot	Spikelets.MainSpike	2	237001821	Zm00001d007725
AC148152.3_FG001	7-9160177	0.016714351	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	7	9332231	Zm00001d007725
AC148152.3_FG001	9-120902398	0.010171627	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	9	122424116	Zm00001d007725
AC148152.3_FG001	10-5913492	-0.001371022	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	10	5641162	Zm00001d007725
AC148152.3_FG001	3-96569362	-0.060611103	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	3	102524833	Zm00001d007725
AC148152.3_FG001	1-292558173	0.012214001	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	1	298067602	Zm00001d007725
AC148152.3_FG001	7-127669971	-0.006862406	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	7	131595119	Zm00001d007725
AC148152.3_FG001	7-156259022	-0.079525703	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	7	161614639	Zm00001d007725
AC148152.3_FG001	4-237452389	-0.0966626	res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv	res.fixed	GRoot	X.6537496..chlorogenic.acid.2..27.18..s100	4	242161894	Zm00001d007725
AC148152.3_FG001	2-230567862	-0.082163307	res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv	res.fixed	GRoot	GDDAnthesis.SilkingInterval	2	237001821	Zm00001d007725
AC148152.3_FG001	1-55432015	-0.091153229	res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv	res.fixed	GRoot	X.6537496..chlorogenic.acid.2..27.18..s100	1	56082189	Zm00001d007725
AC148152.3_FG001	1-184154318	0.011074943	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	1	186200085	Zm00001d007725
AC148152.3_FG001	1-208830382	0.030205925	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	1	211759106	Zm00001d007725
AC148152.3_FG001	8-143418655	-0.125417708	res.fixed_indirect_LeafWidth_ts_GRoot.csv	res.fixed	GRoot	LeafWidth	8	148131679	Zm00001d007725
