trait,snp,pval,coef,file,chr,pos,method,tissue,gwas_overlap,category
AnthesistoSilkInterval,2-37818882,5.86508009098279e-137,-0.201434432311498,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,2,38744759,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,2-37818882,5.7675097916661e-42,-0.117814307521519,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAN.csv,2,38744759,res.fixed,LMAN,0,Flowering Time
AnthesistoSilkInterval,2-37818882,5.84490473945915e-70,-0.156978844877887,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAD.csv,2,38744759,res.fixed,LMAD,0,Flowering Time
AnthesistoSilkInterval,2-37818882,1.42099661805164e-64,-0.14074248861051,res.fixed_dsnps_AnthesistoSilkInterval_ts_Kern.csv,2,38744759,res.fixed,Kern,0,Flowering Time
AnthesistoSilkInterval,2-110186801,5.86508009098279e-137,-0.0872559254436825,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,2,112688219,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,2-110186801,7.10515657614479e-110,-0.129614021978006,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,2,112688219,res.fixed,GShoot,0,Flowering Time
AnthesistoSilkInterval,2-110186801,5.7675097916661e-42,-0.115968019641054,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAN.csv,2,112688219,res.fixed,LMAN,0,Flowering Time
AnthesistoSilkInterval,2-154071565,5.86508009098279e-137,0.0411096940403681,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,2,158070199,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,2-209340126,7.10515657614479e-110,0.159262459249849,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,2,215595871,res.fixed,GShoot,0,Flowering Time
AnthesistoSilkInterval,2-209340126,5.86508009098279e-137,0.136108249857793,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,2,215595871,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,2-209340126,3.06667544481723e-106,0.0661763276413636,res.fixed_dsnps_AnthesistoSilkInterval_ts_L3Base.csv,2,215595871,res.fixed,L3Base,0,Flowering Time
AnthesistoSilkInterval,2-233154463,5.86508009098279e-137,-0.0993160002444593,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,2,239387671,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,2-233154463,7.10515657614479e-110,-0.128843426904771,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,2,239387671,res.fixed,GShoot,0,Flowering Time
AnthesistoSilkInterval,2-233154463,1.42099661805164e-64,-0.152279721249495,res.fixed_dsnps_AnthesistoSilkInterval_ts_Kern.csv,2,239387671,res.fixed,Kern,0,Flowering Time
AnthesistoSilkInterval,2-233154463,8.05908445360067e-45,-0.374089455574127,res.fixed_dsnps_AnthesistoSilkInterval_ts_L3Tip.csv,2,239387671,res.fixed,L3Tip,0,Flowering Time
AnthesistoSilkInterval,2-233154463,3.06667544481723e-106,-0.253849406883256,res.fixed_dsnps_AnthesistoSilkInterval_ts_L3Base.csv,2,239387671,res.fixed,L3Base,0,Flowering Time
AnthesistoSilkInterval,2-233154463,5.7675097916661e-42,-0.109792099605584,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAN.csv,2,239387671,res.fixed,LMAN,0,Flowering Time
GDDAnthesis.SilkingInterval,2-237438867,3.98938091353021e-83,1.32649740455263,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_LMAN.csv,2,240826936,res.fixed,LMAN,0,Flowering Time
AnthesistoSilkInterval,2-237438867,5.86508009098279e-137,0.193053711329859,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,2,240826936,res.fixed,GRoot,0,Flowering Time
GDDAnthesis.SilkingInterval,2-237438867,5.0153554817622e-166,-0.224971628166793,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_L3Tip.csv,2,240826936,res.fixed,L3Tip,0,Flowering Time
AnthesistoSilkInterval,2-237438867,1.42099661805164e-64,0.0825934012634777,res.fixed_dsnps_AnthesistoSilkInterval_ts_Kern.csv,2,240826936,res.fixed,Kern,0,Flowering Time
AnthesistoSilkInterval,2-237438867,3.06667544481723e-106,0.143471659909988,res.fixed_dsnps_AnthesistoSilkInterval_ts_L3Base.csv,2,240826936,res.fixed,L3Base,0,Flowering Time
GDDAnthesis.SilkingInterval,2-237438867,7.26736675412879e-124,0.249601914084225,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_Kern.csv,2,240826936,res.fixed,Kern,0,Flowering Time
AnthesistoSilkInterval,2-237438867,8.05908445360067e-45,0.103603299084584,res.fixed_dsnps_AnthesistoSilkInterval_ts_L3Tip.csv,2,240826936,res.fixed,L3Tip,0,Flowering Time
GDDAnthesis.SilkingInterval,2-237438867,5.88014601527146e-101,0.520396566809357,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_LMAD.csv,2,240826936,res.fixed,LMAD,0,Flowering Time
GDDAnthesis.SilkingInterval,2-237438867,2.13825276760083e-89,1.3320588064423,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_GRoot.csv,2,240826936,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,2-237438867,7.10515657614479e-110,0.113165631287597,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,2,240826936,res.fixed,GShoot,0,Flowering Time
AnthesistoSilkInterval,2-237438867,5.7675097916661e-42,0.137561566018987,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAN.csv,2,240826936,res.fixed,LMAN,0,Flowering Time
AnthesistoSilkInterval,4-65131170,5.86508009098279e-137,-0.129643533521532,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,4,67673031,res.fixed,GRoot,0,Flowering Time
GDDAnthesis.SilkingInterval,5-4341556,5.88014601527146e-101,1.81893104610691,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_LMAD.csv,5,4451399,res.fixed,LMAD,0,Flowering Time
GDDAnthesis.SilkingInterval,5-4341556,7.26736675412879e-124,2.52826571380355,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_Kern.csv,5,4451399,res.fixed,Kern,0,Flowering Time
AnthesistoSilkInterval,5-4341556,5.86508009098279e-137,0.147568833617111,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,5,4451399,res.fixed,GRoot,0,Flowering Time
GDDAnthesis.SilkingInterval,5-4341556,5.0153554817622e-166,1.78606734171357,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_L3Tip.csv,5,4451399,res.fixed,L3Tip,0,Flowering Time
GDDAnthesis.SilkingInterval,5-4341556,1.9702069729985e-43,1.85583611896828,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_L3Base.csv,5,4451399,res.fixed,L3Base,0,Flowering Time
X.637775..3.5.dimethoxy.4.hydroxycinnamic.acid.2..20.65,5-4341556,4.83714352086095e-28,2.68677038392577e-05,res.fixed_dsnps_X.637775..3.5.dimethoxy.4.hydroxycinnamic.acid.2..20.65_ts_GRoot.csv,5,4451399,res.fixed,GRoot,0,Metabolite
GDDAnthesis.SilkingInterval,5-4341556,2.13825276760083e-89,2.21340716183933,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_GRoot.csv,5,4451399,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,5-4341556,7.10515657614479e-110,0.225526112083297,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,5,4451399,res.fixed,GShoot,0,Flowering Time
GDDAnthesis.SilkingInterval,5-4341556,3.98938091353021e-83,2.66481541279414,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_LMAN.csv,5,4451399,res.fixed,LMAN,0,Flowering Time
AnthesistoSilkInterval,5-13085759,5.86508009098279e-137,-0.114611211968202,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,5,13440869,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,5-67652697,8.05908445360067e-45,0.210854342103973,res.fixed_dsnps_AnthesistoSilkInterval_ts_L3Tip.csv,5,69567392,res.fixed,L3Tip,0,Flowering Time
AnthesistoSilkInterval,5-67652697,7.10515657614479e-110,0.30641474891411,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,5,69567392,res.fixed,GShoot,0,Flowering Time
AnthesistoSilkInterval,5-67652697,3.06667544481723e-106,0.19054115478078,res.fixed_dsnps_AnthesistoSilkInterval_ts_L3Base.csv,5,69567392,res.fixed,L3Base,0,Flowering Time
AnthesistoSilkInterval,5-67652697,5.86508009098279e-137,0.171991105758349,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,5,69567392,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,5-127608834,3.06667544481723e-106,0.0863379391921519,res.fixed_dsnps_AnthesistoSilkInterval_ts_L3Base.csv,5,130918616,res.fixed,L3Base,0,Flowering Time
AnthesistoSilkInterval,5-127608834,8.05908445360067e-45,0.188184016748426,res.fixed_dsnps_AnthesistoSilkInterval_ts_L3Tip.csv,5,130918616,res.fixed,L3Tip,0,Flowering Time
AnthesistoSilkInterval,5-178996683,5.86508009098279e-137,-0.11901969772058,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,5,183236414,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,6-86211657,5.86508009098279e-137,0.0440473121005691,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,6,88844897,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,6-113900354,5.86508009098279e-137,0.0829779166358882,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,6,117639861,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,6-138531861,1.42099661805164e-64,0.0884301915681281,res.fixed_dsnps_AnthesistoSilkInterval_ts_Kern.csv,6,142681656,res.fixed,Kern,0,Flowering Time
AnthesistoSilkInterval,6-138531861,3.06667544481723e-106,-0.044632280922847,res.fixed_dsnps_AnthesistoSilkInterval_ts_L3Base.csv,6,142681656,res.fixed,L3Base,0,Flowering Time
AnthesistoSilkInterval,6-138531861,5.7675097916661e-42,0.160850178443746,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAN.csv,6,142681656,res.fixed,LMAN,0,Flowering Time
AnthesistoSilkInterval,6-138531861,5.86508009098279e-137,0.131254326428243,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,6,142681656,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,6-147253540,5.86508009098279e-137,-0.15377727090417,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,6,151107180,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,6-147253540,3.06667544481723e-106,-0.238953154950061,res.fixed_dsnps_AnthesistoSilkInterval_ts_L3Base.csv,6,151107180,res.fixed,L3Base,0,Flowering Time
AnthesistoSilkInterval,6-149836474,5.86508009098279e-137,-0.0396241034146943,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,6,153732222,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,7-53438129,5.86508009098279e-137,-0.0916290990100827,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,7,55301838,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,7-54772200,5.86508009098279e-137,-0.0959658135876534,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,7,56609624,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,7-54772200,5.84490473945915e-70,-0.16272374735419,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAD.csv,7,56609624,res.fixed,LMAD,0,Flowering Time
AnthesistoSilkInterval,7-130723257,7.10515657614479e-110,-0.225773913832286,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,7,134710117,res.fixed,GShoot,0,Flowering Time
AnthesistoSilkInterval,7-130723257,5.7675097916661e-42,-0.185167728336667,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAN.csv,7,134710117,res.fixed,LMAN,0,Flowering Time
AnthesistoSilkInterval,7-130723257,5.86508009098279e-137,-0.142664223004125,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,7,134710117,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,7-145758352,5.86508009098279e-137,0.166093043408494,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,7,150646848,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,7-166106046,5.86508009098279e-137,-0.132508522659573,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,7,171620227,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,7-166106046,5.84490473945915e-70,-0.107152133233469,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAD.csv,7,171620227,res.fixed,LMAD,0,Flowering Time
AnthesistoSilkInterval,8-25128728,5.7675097916661e-42,0.205870855554089,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAN.csv,8,25922267,res.fixed,LMAN,0,Flowering Time
AnthesistoSilkInterval,8-25128728,5.86508009098279e-137,0.0746125015123338,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,8,25922267,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,8-25128728,7.10515657614479e-110,0.0588267559436174,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,8,25922267,res.fixed,GShoot,0,Flowering Time
AnthesistoSilkInterval,8-39650919,5.86508009098279e-137,0.0923339606430319,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,8,40805371,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,8-39650919,7.10515657614479e-110,0.170266831907616,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,8,40805371,res.fixed,GShoot,0,Flowering Time
AnthesistoSilkInterval,8-108646330,5.84490473945915e-70,-0.0666133683413499,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAD.csv,8,111597389,res.fixed,LMAD,0,Flowering Time
AnthesistoSilkInterval,8-108646330,5.86508009098279e-137,-0.0974068373841849,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,8,111597389,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,8-118819199,5.86508009098279e-137,-0.175571931772038,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,8,122303341,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,8-118819199,5.84490473945915e-70,-0.0821721564588506,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAD.csv,8,122303341,res.fixed,LMAD,0,Flowering Time
AnthesistoSilkInterval,9-1103147,5.86508009098279e-137,0.0466247362855849,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,9,771430,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,9-1163232,5.86508009098279e-137,0.170692588338917,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,9,831507,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,9-1163232,5.7675097916661e-42,0.174843220980522,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAN.csv,9,831507,res.fixed,LMAN,0,Flowering Time
AnthesistoSilkInterval,9-1163232,5.84490473945915e-70,0.109336737746449,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAD.csv,9,831507,res.fixed,LMAD,0,Flowering Time
GDDAnthesis.SilkingInterval,9-1163232,2.13825276760083e-89,1.03574434258024,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_GRoot.csv,9,831507,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,10-29054855,5.86508009098279e-137,0.141001833033264,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,10,29820582,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,10-66777272,3.06667544481723e-106,0.116754387947692,res.fixed_dsnps_AnthesistoSilkInterval_ts_L3Base.csv,10,66050090,res.fixed,L3Base,0,Flowering Time
AnthesistoSilkInterval,10-66777272,5.86508009098279e-137,0.139097792891518,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,10,66050090,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,10-66777272,5.84490473945915e-70,0.0355861230038543,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAD.csv,10,66050090,res.fixed,LMAD,0,Flowering Time
AnthesistoSilkInterval,10-66777272,7.10515657614479e-110,0.213144104844108,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,10,66050090,res.fixed,GShoot,0,Flowering Time
SouthernLeafBlight,10-79968557,9.65257372816447e-50,0.032972630280666,res.fixed_dsnps_SouthernLeafBlight_ts_LMAD.csv,10,79377062,res.fixed,LMAD,0,other
AnthesistoSilkInterval,10-79968557,7.10515657614479e-110,0.0863514582985998,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,10,79377062,res.fixed,GShoot,0,Flowering Time
AnthesistoSilkInterval,10-113034407,5.86508009098279e-137,-0.0600287121308046,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,10,113915676,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,1-8462355,7.10515657614479e-110,0.252825525155326,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,1,8504755,res.fixed,GShoot,0,Flowering Time
AnthesistoSilkInterval,1-27874697,1.42099661805164e-64,-0.126639844620029,res.fixed_dsnps_AnthesistoSilkInterval_ts_Kern.csv,1,28065209,res.fixed,Kern,0,Flowering Time
AnthesistoSilkInterval,1-27874697,7.10515657614479e-110,-0.124909216278252,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,1,28065209,res.fixed,GShoot,0,Flowering Time
AnthesistoSilkInterval,1-190635171,7.10515657614479e-110,0.120248494764133,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,1,192799944,res.fixed,GShoot,0,Flowering Time
GDDAnthesis.SilkingInterval,1-190635171,5.88014601527146e-101,0.664127832038042,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_LMAD.csv,1,192799944,res.fixed,LMAD,0,Flowering Time
AnthesistoSilkInterval,1-190635171,5.84490473945915e-70,0.0817465211967549,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAD.csv,1,192799944,res.fixed,LMAD,0,Flowering Time
AnthesistoSilkInterval,1-225170354,7.10515657614479e-110,0.16244926476845,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,1,228756564,res.fixed,GShoot,0,Flowering Time
AnthesistoSilkInterval,1-231134747,7.10515657614479e-110,-0.0635726290128445,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,1,234626029,res.fixed,GShoot,0,Flowering Time
GDDAnthesis.SilkingInterval,2-143258129,3.98938091353021e-83,-0.14703542994705,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_LMAN.csv,2,147084887,res.fixed,LMAN,0,Flowering Time
AnthesistoSilkInterval,2-143258129,8.05908445360067e-45,-0.0560936879572964,res.fixed_dsnps_AnthesistoSilkInterval_ts_L3Tip.csv,2,147084887,res.fixed,L3Tip,0,Flowering Time
AnthesistoSilkInterval,2-143258129,7.10515657614479e-110,-0.035729877377576,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,2,147084887,res.fixed,GShoot,0,Flowering Time
GDDAnthesis.SilkingInterval,2-143258129,6.91889151787357e-49,-2.21895770304754,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_GShoot.csv,2,147084887,res.fixed,GShoot,0,Flowering Time
AnthesistoSilkInterval,2-143258129,5.7675097916661e-42,-0.014606122523278,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAN.csv,2,147084887,res.fixed,LMAN,0,Flowering Time
AnthesistoSilkInterval,2-171809277,7.10515657614479e-110,0.133653742012011,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,2,175883069,res.fixed,GShoot,0,Flowering Time
AnthesistoSilkInterval,2-200547209,5.84490473945915e-70,-0.113446599158022,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAD.csv,2,206397815,res.fixed,LMAD,0,Flowering Time
AnthesistoSilkInterval,2-220418389,7.10515657614479e-110,-0.251218565454945,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,2,226486815,res.fixed,GShoot,112,Flowering Time
AnthesistoSilkInterval,2-222509796,5.84490473945915e-70,0.0895504054372035,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAD.csv,2,228815222,res.fixed,LMAD,0,Flowering Time
AnthesistoSilkInterval,2-222509796,7.10515657614479e-110,0.10229085389524,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,2,228815222,res.fixed,GShoot,0,Flowering Time
X20KernelWeight,2-222509796,1.90015915257281e-65,-0.116846455000315,res.fixed_dsnps_X20KernelWeight_ts_LMAD.csv,2,228815222,res.fixed,LMAD,0,Seed Traits
X.2724705..1.6.anhydro.glucose..15.326,2-222509796,5.20754329270863e-285,1.39238175072119e-05,res.fixed_dsnps_X.2724705..1.6.anhydro.glucose..15.326_ts_GRoot.csv,2,228815222,res.fixed,GRoot,0,Metabolite
AnthesistoSilkInterval,3-40252021,7.10515657614479e-110,0.129889831085105,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,3,39795880,res.fixed,GShoot,134,Flowering Time
AnthesistoSilkInterval,3-158946040,7.10515657614479e-110,-0.227929313883217,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,3,160487943,res.fixed,GShoot,0,Flowering Time
AnthesistoSilkInterval,4-68521128,5.86508009098279e-137,-0.171860959761369,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,4,71170636,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,4-68521128,7.10515657614479e-110,-0.207449659149425,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,4,71170636,res.fixed,GShoot,0,Flowering Time
AnthesistoSilkInterval,4-142362298,7.10515657614479e-110,0.0287418557876947,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,4,145655013,res.fixed,GShoot,0,Flowering Time
AnthesistoSilkInterval,4-165661132,3.06667544481723e-106,-0.1265222358076,res.fixed_dsnps_AnthesistoSilkInterval_ts_L3Base.csv,4,168573516,res.fixed,L3Base,0,Flowering Time
GDDAnthesis.SilkingInterval,4-165661132,2.13825276760083e-89,-1.01962378043128,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_GRoot.csv,4,168573516,res.fixed,GRoot,0,Flowering Time
GDDAnthesis.SilkingInterval,4-165661132,3.98938091353021e-83,-1.42342323818448,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_LMAN.csv,4,168573516,res.fixed,LMAN,0,Flowering Time
GDDAnthesis.SilkingInterval,4-165661132,5.0153554817622e-166,-1.05358127249544,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_L3Tip.csv,4,168573516,res.fixed,L3Tip,0,Flowering Time
GDDAnthesis.SilkingInterval,4-165661132,7.26736675412879e-124,-1.62929843545148,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_Kern.csv,4,168573516,res.fixed,Kern,0,Flowering Time
AnthesistoSilkInterval,4-165661132,8.05908445360067e-45,-0.185890062621497,res.fixed_dsnps_AnthesistoSilkInterval_ts_L3Tip.csv,4,168573516,res.fixed,L3Tip,0,Flowering Time
AnthesistoSilkInterval,4-165661132,7.10515657614479e-110,-0.0375449449060464,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,4,168573516,res.fixed,GShoot,0,Flowering Time
