snps_for_medi,medi,coef,file,method,tissue,trait,seq,Pos
2-231059742,AC148152.3_FG001,-0.0499743577765144,res.fixed_indirect_NIRProtein_ts_GRoot.csv,res.fixed,GRoot,NIRProtein,2,237396210
2-231059742,AC148152.3_FG001,-0.0340144915189859,res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv,res.fixed,GRoot,X.8742..shikimic.acid..16.433..s100,2,237396210
2-231059742,AC148152.3_FG001,-0.0330046963371713,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,2,237396210
2-232031957,AC148152.3_FG001,-0.0378194921666917,res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv,res.fixed,GRoot,X.5321342..beta.sitosterol..28.848,2,238222922
2-232031957,AC148152.3_FG001,-0.200251952681947,res.fixed_indirect_NIRProtein_ts_GRoot.csv,res.fixed,GRoot,NIRProtein,2,238222922
2-232031957,AC148152.3_FG001,-0.218462858933214,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,2,238222922
2-232031957,AC148152.3_FG001,-0.218462858933214,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,2,238222922
2-232031957,AC148152.3_FG001,-0.218462858933214,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,2,238222922
2-232031957,AC148152.3_FG001,-0.106584935759586,res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv,res.fixed,GRoot,X.8742..shikimic.acid..16.433..s100,2,238222922
2-232031957,AC148152.3_FG001,-0.119079128390052,res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv,res.fixed,GRoot,X.6537496..chlorogenic.acid.2..27.18..s100,2,238222922
2-232031957,AC148152.3_FG001,-0.218462858933214,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,2,238222922
2-232169827,AC148152.3_FG001,-0.256804180347595,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,2,238359223
2-232169827,AC148152.3_FG001,-0.256804180347595,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,2,238359223
2-232169827,AC148152.3_FG001,-0.256804180347595,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,2,238359223
2-232169827,AC148152.3_FG001,-0.256804180347595,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,2,238359223
2-232169827,AC148152.3_FG001,-0.124484164541676,res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv,res.fixed,GRoot,X.6537496..chlorogenic.acid.2..27.18..s100,2,238359223
2-232169827,AC148152.3_FG001,-0.0656971998419684,res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv,res.fixed,GRoot,X.8742..shikimic.acid..16.433..s100,2,238359223
2-232169827,AC148152.3_FG001,-0.235089912122136,res.fixed_indirect_NIRProtein_ts_GRoot.csv,res.fixed,GRoot,NIRProtein,2,238359223
2-232169827,AC148152.3_FG001,-0.136632105807115,res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv,res.fixed,GRoot,X.5321342..beta.sitosterol..28.848,2,238359223
2-232957897,AC148152.3_FG001,-0.0866154714898081,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,2,239190206
2-232957897,AC148152.3_FG001,-0.0866154714898081,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,2,239190206
2-232957897,AC148152.3_FG001,-0.0866154714898081,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,2,239190206
2-232957897,AC148152.3_FG001,-0.057744671946083,res.fixed_indirect_NIRProtein_ts_GRoot.csv,res.fixed,GRoot,NIRProtein,2,239190206
2-232957897,AC148152.3_FG001,-0.0866154714898081,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,2,239190206
3-10920549,AC148152.3_FG001,-0.0588707273124832,res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv,res.fixed,GRoot,X.8742..shikimic.acid..16.433..s100,3,10230585
3-10920549,AC148152.3_FG001,-0.234459407313955,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,3,10230585
3-10920549,AC148152.3_FG001,-0.234459407313955,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,3,10230585
3-10920549,AC148152.3_FG001,-0.234459407313955,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,3,10230585
3-10920549,AC148152.3_FG001,-0.234459407313955,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,3,10230585
3-10920549,AC148152.3_FG001,-0.211913798687839,res.fixed_indirect_NIRProtein_ts_GRoot.csv,res.fixed,GRoot,NIRProtein,3,10230585
3-207405971,AC148152.3_FG001,-0.142074882874167,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,3,210896438
3-207405971,AC148152.3_FG001,-0.0756575004918699,res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv,res.fixed,GRoot,X.8742..shikimic.acid..16.433..s100,3,210896438
3-207405971,AC148152.3_FG001,-0.0644945179277488,res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv,res.fixed,GRoot,X.5321342..beta.sitosterol..28.848,3,210896438
3-207405971,AC148152.3_FG001,-0.142074882874167,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,3,210896438
3-207405971,AC148152.3_FG001,-0.142074882874167,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,3,210896438
3-207405971,AC148152.3_FG001,-0.123284019680999,res.fixed_indirect_NIRProtein_ts_GRoot.csv,res.fixed,GRoot,NIRProtein,3,210896438
3-207405971,AC148152.3_FG001,-0.171372560512418,res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv,res.fixed,GRoot,X.6537496..chlorogenic.acid.2..27.18..s100,3,210896438
3-207405971,AC148152.3_FG001,-0.142074882874167,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,3,210896438
4-22801510,AC148152.3_FG001,-0.0913256944231765,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,4,24308777
4-22801510,AC148152.3_FG001,-0.0913256944231765,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,4,24308777
4-22801510,AC148152.3_FG001,-0.0913256944231765,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,4,24308777
4-22801510,AC148152.3_FG001,-0.0913256944231765,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,4,24308777
4-22801510,AC148152.3_FG001,0.00161749611299842,res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv,res.fixed,GRoot,X.8742..shikimic.acid..16.433..s100,4,24308777
4-22801510,AC148152.3_FG001,0.0193230233801062,res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv,res.fixed,GRoot,X.6537496..chlorogenic.acid.2..27.18..s100,4,24308777
4-22801510,AC148152.3_FG001,-0.0752084265368803,res.fixed_indirect_NIRProtein_ts_GRoot.csv,res.fixed,GRoot,NIRProtein,4,24308777
4-55415010,AC148152.3_FG001,-0.0591643604998617,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,4,57679260
4-55415010,AC148152.3_FG001,-0.0591643604998617,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,4,57679260
4-55415010,AC148152.3_FG001,-0.0297839372486482,res.fixed_indirect_NIRProtein_ts_GRoot.csv,res.fixed,GRoot,NIRProtein,4,57679260
4-55415010,AC148152.3_FG001,-0.0591643604998617,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,4,57679260
4-55415010,AC148152.3_FG001,-0.0591643604998617,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,4,57679260
4-134596459,AC148152.3_FG001,-0.111551800237279,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,4,137787202
4-134596459,AC148152.3_FG001,-0.113309992281436,res.fixed_indirect_NIRProtein_ts_GRoot.csv,res.fixed,GRoot,NIRProtein,4,137787202
4-134596459,AC148152.3_FG001,-0.111551800237279,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,4,137787202
4-134596459,AC148152.3_FG001,-0.111551800237279,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,4,137787202
4-134596459,AC148152.3_FG001,-0.111551800237279,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,4,137787202
4-134596459,AC148152.3_FG001,-0.0265345390234278,res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv,res.fixed,GRoot,X.8742..shikimic.acid..16.433..s100,4,137787202
4-134596459,AC148152.3_FG001,-0.0548982417993277,res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv,res.fixed,GRoot,X.5321342..beta.sitosterol..28.848,4,137787202
5-164900063,AC148152.3_FG001,-0.102319726963959,res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv,res.fixed,GRoot,X.5321342..beta.sitosterol..28.848,5,168750705
5-164900063,AC148152.3_FG001,-0.146669074063343,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,5,168750705
5-164900063,AC148152.3_FG001,-0.146669074063343,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,5,168750705
5-164900063,AC148152.3_FG001,-0.0286160605332692,res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv,res.fixed,GRoot,X.8742..shikimic.acid..16.433..s100,5,168750705
5-164900063,AC148152.3_FG001,-0.135476561876643,res.fixed_indirect_NIRProtein_ts_GRoot.csv,res.fixed,GRoot,NIRProtein,5,168750705
5-164900063,AC148152.3_FG001,-0.146669074063343,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,5,168750705
5-164900063,AC148152.3_FG001,-0.146669074063343,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,5,168750705
5-164900063,AC148152.3_FG001,-0.050144324771064,res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv,res.fixed,GRoot,X.6537496..chlorogenic.acid.2..27.18..s100,5,168750705
5-192017240,AC148152.3_FG001,-0.0835022888696983,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,5,197335004
5-192017240,AC148152.3_FG001,-0.0519500301542033,res.fixed_indirect_NIRProtein_ts_GRoot.csv,res.fixed,GRoot,NIRProtein,5,197335004
5-192017240,AC148152.3_FG001,-0.0835022888696983,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,5,197335004
5-192017240,AC148152.3_FG001,-0.0835022888696983,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,5,197335004
5-192017240,AC148152.3_FG001,-0.0835022888696983,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,5,197335004
7-2180791,AC148152.3_FG001,-0.0441043912919485,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,7,2292898
7-2180791,AC148152.3_FG001,-0.0441043912919485,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,7,2292898
7-2180791,AC148152.3_FG001,-0.0341351429850734,res.fixed_indirect_NIRProtein_ts_GRoot.csv,res.fixed,GRoot,NIRProtein,7,2292898
7-2180791,AC148152.3_FG001,-0.0441043912919485,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,7,2292898
7-2180791,AC148152.3_FG001,-0.0441043912919485,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,7,2292898
7-130952825,AC148152.3_FG001,0.0865108900707212,res.fixed_indirect_NIRProtein_ts_GRoot.csv,res.fixed,GRoot,NIRProtein,7,134937511
7-130952825,AC148152.3_FG001,0.0792811709692256,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,7,134937511
7-130952825,AC148152.3_FG001,0.0792811709692256,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,7,134937511
7-130952825,AC148152.3_FG001,-0.00940524981914919,res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv,res.fixed,GRoot,X.6537496..chlorogenic.acid.2..27.18..s100,7,134937511
7-130952825,AC148152.3_FG001,0.0792811709692256,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,7,134937511
7-130952825,AC148152.3_FG001,0.0792811709692256,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,7,134937511
8-143418655,AC148152.3_FG001,-0.131703484186413,res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv,res.fixed,GRoot,X.6537496..chlorogenic.acid.2..27.18..s100,8,148131679
8-143418655,AC148152.3_FG001,-0.125417707513946,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,8,148131679
8-143418655,AC148152.3_FG001,-0.112738348987025,res.fixed_indirect_NIRProtein_ts_GRoot.csv,res.fixed,GRoot,NIRProtein,8,148131679
8-143418655,AC148152.3_FG001,-0.125417707513946,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,8,148131679
8-143418655,AC148152.3_FG001,-0.125417707513946,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,8,148131679
8-143418655,AC148152.3_FG001,-0.125417707513946,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,8,148131679
10-89295377,AC148152.3_FG001,-0.147920118838334,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,10,89486157
10-89295377,AC148152.3_FG001,-0.147920118838334,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,10,89486157
10-89295377,AC148152.3_FG001,-0.16074936810119,res.fixed_indirect_NIRProtein_ts_GRoot.csv,res.fixed,GRoot,NIRProtein,10,89486157
10-89295377,AC148152.3_FG001,-0.147920118838334,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,10,89486157
10-89295377,AC148152.3_FG001,-0.147920118838334,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,10,89486157
2-3939117,GRMZM2G118766,0.0640643508112562,res.fixed_indirect_X.637542..4.hydroxycinnamic.acid..17.854_ts_GShoot.csv,res.fixed,GShoot,X.637542..4.hydroxycinnamic.acid..17.854,2,3950937
4-185869068,GRMZM2G002606,-0.145257944806816,res.fixed_indirect_Spikelets.MainSpike_ts_L3Tip.csv,res.fixed,L3Tip,Spikelets.MainSpike,4,189151180
6-121567992,GRMZM2G155767,-0.0446987080218577,res.fixed_indirect_X.754..glycerol.1.phosphate..16.056_ts_LMAN.csv,res.fixed,LMAN,X.754..glycerol.1.phosphate..16.056,6,125296837
6-142027683,GRMZM2G025742,-0.0343386949370472,res.fixed_indirect_TotalSeedWeight_ts_LMAN.csv,res.fixed,LMAN,TotalSeedWeight,6,145997944
7-74854035,GRMZM2G403162,0.0548630171380583,res.fixed_indirect_UpperLeafAngle_ts_Kern.csv,res.fixed,Kern,UpperLeafAngle,7,77316917
8-5232989,GRMZM2G398668,-0.0479232140569792,res.fixed_indirect_X.439742..beta.cyano.L.alanine..11.288_ts_L3Tip.csv,res.fixed,L3Tip,X.439742..beta.cyano.L.alanine..11.288,8,5488300
8-168584594,GRMZM2G179507,0.218537424626069,res.fixed_indirect_X.754..glycerol.1.phosphate..16.056_ts_LMAN.csv,res.fixed,LMAN,X.754..glycerol.1.phosphate..16.056,8,174278575
1-52175850,AC148152.3_FG001,-0.0250296851148578,res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv,res.fixed,GRoot,X.8742..shikimic.acid..16.433..s100,1,52622851
1-52175850,AC148152.3_FG001,-0.0307894878123451,res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv,res.fixed,GRoot,X.5321342..beta.sitosterol..28.848,1,52622851
1-269090368,GRMZM2G179002,0.0862040768727806,res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GShoot.csv,res.fixed,GShoot,X.5321342..beta.sitosterol..28.848,1,273743885
2-44357625,GRMZM2G077811,-0.118013419993004,res.fixed_indirect_SeedSetLength_ts_L3Base.csv,res.fixed,L3Base,SeedSetLength,2,45581418
2-47291364,GRMZM2G010433,-0.0227493334880141,res.fixed_indirect_X.12647..L.homoserine.2..12.359_ts_GRoot.csv,res.fixed,GRoot,X.12647..L.homoserine.2..12.359,2,48621914
2-213460787,GRMZM2G045404,0.0860551094404922,res.fixed_indirect_MiddleLeafAngle_ts_GShoot.csv,res.fixed,GShoot,MiddleLeafAngle,2,219592641
2-213460787,GRMZM2G179253,0.05556524759842,res.fixed_indirect_X.204..allantoin.1..17.293_ts_LMAD.csv,res.fixed,LMAD,X.204..allantoin.1..17.293,2,219592641
7-172082494,GRMZM2G152796,-0.0757598786847451,res.fixed_indirect_X.642609..trans.caftaric.acid.2..25.529_ts_GRoot.csv,res.fixed,GRoot,X.642609..trans.caftaric.acid.2..25.529,7,178787560
3-164816104,GRMZM2G035248,-0.166270598529518,res.fixed_indirect_X.204..allantoin.1..17.293_ts_LMAD.csv,res.fixed,LMAD,X.204..allantoin.1..17.293,3,167425201
4-190226399,GRMZM2G146041,-0.0258339483821695,res.fixed_indirect_X.6057..tyrosine.2..17.871_ts_GShoot.csv,res.fixed,GShoot,X.6057..tyrosine.2..17.871,4,194255245
7-80286637,GRMZM5G853854,-0.16017778208445,res.fixed_indirect_LeafLength_ts_GRoot.csv,res.fixed,GRoot,LeafLength,7,83109277
7-80286637,GRMZM2G131155,0.101832929504299,res.fixed_indirect_LeafLength_ts_Kern.csv,res.fixed,Kern,LeafLength,7,83109277
8-72901947,GRMZM2G406099,-0.211512466596593,res.fixed_indirect_X.6287..L.valine.2..9.151_ts_Kern.csv,res.fixed,Kern,X.6287..L.valine.2..9.151,8,74609689
1-68232420,GRMZM2G000231,-0.0368335397226649,res.fixed_indirect_AnthesistoSilkInterval_ts_L3Base.csv,res.fixed,L3Base,AnthesistoSilkInterval,1,69412809
1-68247697,GRMZM2G115598,-0.0113960364139793,res.fixed_indirect_X.311..citric.acid..16.615..s100_ts_LMAN.csv,res.fixed,LMAN,X.311..citric.acid..16.615..s100,1,69428085
1-68247697,GRMZM2G000231,0.213538849416151,res.fixed_indirect_AnthesistoSilkInterval_ts_L3Base.csv,res.fixed,L3Base,AnthesistoSilkInterval,1,69428085
1-206923196,GRMZM2G000231,-0.157288988478779,res.fixed_indirect_AnthesistoSilkInterval_ts_L3Base.csv,res.fixed,L3Base,AnthesistoSilkInterval,1,209740638
2-35167682,GRMZM2G000231,-0.100325369418504,res.fixed_indirect_AnthesistoSilkInterval_ts_L3Base.csv,res.fixed,L3Base,AnthesistoSilkInterval,2,36103324
